
РЕЗУЛЬТАТ ЧАСТОТНОГО АНАЛИЗА ШИФРОТЕКСТА,
ПОЛУЧЕННОГО ШИФРОВАНИЕМ ТЕКСТА НА
АНГЛИЙСКОМ ЯЗЫКЕ, В РЕЖИМЕ ШИФРОВАНИЯ CFB,
РАЗМЕРОМ 16832565 БАЙТОВ.

------------------------------------------
| HEX | DEC | CHR |  QUANTITY  | PERCENT |
|  EE | 238 |     |      65604 |   0.39% |
|  B9 | 185 |     |      65600 |   0.39% |
|  50 |  80 |   P |      65597 |   0.39% |
|  14 |  20 |     |      65597 |   0.39% |
|  34 |  52 |   4 |      65596 |   0.39% |
|  98 | 152 |     |      65595 |   0.39% |
|  53 |  83 |   S |      65590 |   0.39% |
|  17 |  23 |     |      65584 |   0.39% |
|  82 | 130 |     |      65583 |   0.39% |
|  EC | 236 |     |      65579 |   0.39% |
|  24 |  36 |   $ |      65579 |   0.39% |
|  6C | 108 |   l |      65568 |   0.39% |
|  D3 | 211 |     |      65563 |   0.39% |
|  AC | 172 |     |      65554 |   0.39% |
|  56 |  86 |   V |      65548 |   0.39% |
|  EA | 234 |     |      65547 |   0.39% |
|  A9 | 169 |     |      65547 |   0.39% |
|  99 | 153 |     |      65540 |   0.39% |
|  B3 | 179 |     |      65539 |   0.39% |
|  61 |  97 |   a |      65539 |   0.39% |
|  B6 | 182 |     |      65537 |   0.39% |
|  11 |  17 |     |      65527 |   0.39% |
|  AA | 170 |     |      65520 |   0.39% |
|  5F |  95 |   _ |      65514 |   0.39% |
|  22 |  34 |   " |      65511 |   0.39% |
|  D9 | 217 |     |      65506 |   0.39% |
|  BC | 188 |     |      65501 |   0.39% |
|  6B | 107 |   k |      65500 |   0.39% |
|  AB | 171 |     |      65496 |   0.39% |
|  7C | 124 |   | |      65488 |   0.39% |
|  49 |  73 |   I |      65482 |   0.39% |
|  D2 | 210 |     |      65469 |   0.39% |
|  13 |  19 |     |      65468 |   0.39% |
|  FD | 253 |     |      65460 |   0.39% |
|  5A |  90 |   Z |      65451 |   0.39% |
|  08 |   8 |     |      65447 |   0.39% |
|  D5 | 213 |     |      65445 |   0.39% |
|  F9 | 249 |     |      65442 |   0.39% |
|  4E |  78 |   N |      65439 |   0.39% |
|  43 |  67 |   C |      65439 |   0.39% |
|  73 | 115 |   s |      65431 |   0.39% |
|  40 |  64 |   @ |      65431 |   0.39% |
|  28 |  40 |   ( |      65427 |   0.39% |
|  96 | 150 |     |      65421 |   0.39% |
|  C3 | 195 |     |      65417 |   0.39% |
|  1C |  28 |     |      65404 |   0.39% |
|  FC | 252 |     |      65397 |   0.39% |
|  0C |  12 |     |      65388 |   0.39% |
|  DF | 223 |     |      65381 |   0.39% |
|  A5 | 165 |     |      65381 |   0.39% |
|  E5 | 229 |     |      65349 |   0.39% |
|  AD | 173 |     |      65348 |   0.39% |
|  A6 | 166 |     |      65337 |   0.39% |
|  58 |  88 |   X |      65331 |   0.39% |
|  8A | 138 |     |      65315 |   0.39% |
|  A0 | 160 |     |      65310 |   0.39% |
|  E4 | 228 |     |      65308 |   0.39% |
|  E7 | 231 |     |      65301 |   0.39% |
|  0E |  14 |     |      65301 |   0.39% |
|  3D |  61 |   = |      65279 |   0.39% |
|  C7 | 199 |     |      65267 |   0.39% |
|  5D |  93 |   ] |      65224 |   0.39% |
|  CD | 205 |     |      65216 |   0.39% |
|  3F |  63 |   ? |      65194 |   0.39% |
|  9D | 157 |     |      65185 |   0.39% |
|  87 | 135 |     |      65185 |   0.39% |
|  47 |  71 |   G |      65158 |   0.39% |
------------------------------------------
